Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;4-8-1;4;1;8.00000;11.50344;0.52582;1.07448;1.65250;-9.94150e-02;2.34600;0.75532;0
Im001;0;4-9-0;4;0;8.00000;6.43939;0.66299;1.30068;0.98962;-5.31426e-02;3.91484;0.88814;0
Im001;0;4-9-1;4;1;8.00000;7.15618;1.01734;1.86719;2.85752;7.38078e-02;3.91484;0.89302;0
Im001;0;4-10-0;4;0;8.00000;14.32537;0.93733;1.58941;0.93590;-2.17906e-02;1.96395;0.89392;0
Im001;0;4-11-0;4;0;8.00000;11.45265;1.28025;2.36666;1.59507;4.52275e-03;3.16124;0.86199;0
Im001;0;4-12-0;4;0;8.00000;5.76508;0.93733;1.53079;0.98327;7.30085e-02;2.22617;0.86601;0
Im001;0;4-13-0;4;0;8.00000;5.28721;0.65156;1.11623;0.77766;4.58480e-02;3.58779;0.91497;0
Im001;0;4-13-1;4;1;8.00000;5.24966;0.57154;1.18091;2.35448;6.20229e-04;3.58779;0.86974;0
Im001;0;4-14-0;4;0;8.00000;7.36038;0.78873;1.39400;0.71906;-1.47698e-02;3.66805;0.86779;0
Im001;0;4-14-1;4;1;8.00000;7.12243;0.84588;1.51201;2.57944;-1.45571e-02;3.66805;0.88255;0
Im001;0;4-15-0;4;0;8.00000;3.67389;0.78873;1.21902;0.95264;1.15937e-02;2.16531;0.88427;0
Im001;0;4-16-0;4;0;8.00000;9.28421;1.20024;2.10869;1.29548;5.67587e-02;2.55215;0.89457;0
Im001;0;4-17-0;4;0;8.00000;9.49738;0.74300;1.53079;1.04331;-6.50402e-02;2.00809;0.94729;0
Im001;0;4-18-0;4;0;8.00000;7.53064;1.45171;2.37390;1.47478;-9.40430e-02;2.92818;0.88500;0
Im001;0;4-19-0;4;0;8.00000;11.09635;0.85731;1.71064;0.85985;-4.86289e-02;2.16189;0.94356;0
Im001;0;4-20-0;4;0;8.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;4-21-0;4;0;8.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
